Device: cpu, Seed: 42
Starting training: 10000 episodes, K=10
============================================================
Episode    100 | Avg Reward:  -110.14 | MTTD: 101 | MTTR: 200 | FPR: 0.221 | CSR: 0
Episode   7500 | Avg Reward:     2.09 | MTTD:   6 | MTTR:  54 | FPR: 0.152 | CSR: 1
Episode   7600 | Avg Reward:     2.75 | MTTD:   9 | MTTR:  31 | FPR: 0.143 | CSR: 1
Episode   7700 | Avg Reward:     0.27 | MTTD:   7 | MTTR: 200 | FPR: 0.444 | CSR: 0
Episode   7800 | Avg Reward:     1.84 | MTTD:   7 | MTTR:  21 | FPR: 0.200 | CSR: 1
Episode   7900 | Avg Reward:     3.27 | MTTD:   7 | MTTR:  28 | FPR: 0.429 | CSR: 1
Episode   8000 | Avg Reward:     1.80 | MTTD:   6 | MTTR:  29 | FPR: 0.250 | CSR: 1
Episode   8100 | Avg Reward:     2.16 | MTTD:   6 | MTTR: 200 | FPR: 0.250 | CSR: 0
Episode   8200 | Avg Reward:     1.60 | MTTD:  12 | MTTR:  16 | FPR: 0.000 | CSR: 1
Episode   8300 | Avg Reward:     1.40 | MTTD:   6 | MTTR:  23 | FPR: 0.214 | CSR: 1
Episode   8400 | Avg Reward:     0.92 | MTTD:  17 | MTTR:  31 | FPR: 0.062 | CSR: 1
Episode   8500 | Avg Reward:     3.53 | MTTD:   8 | MTTR:  35 | FPR: 0.333 | CSR: 1
Episode   8600 | Avg Reward:     2.68 | MTTD:  11 | MTTR:  40 | FPR: 0.211 | CSR: 1
Episode   8700 | Avg Reward:     3.43 | MTTD:   7 | MTTR:  12 | FPR: 0.000 | CSR: 1
Episode   8800 | Avg Reward:     1.21 | MTTD:   7 | MTTR: 200 | FPR: 0.240 | CSR: 0
Episode   8900 | Avg Reward:     3.89 | MTTD:   8 | MTTR:  33 | FPR: 0.059 | CSR: 1
Episode   9000 | Avg Reward:     4.67 | MTTD:   8 | MTTR: 200 | FPR: 0.148 | CSR: 0
Episode   9100 | Avg Reward:     2.91 | MTTD:   7 | MTTR: 200 | FPR: 0.600 | CSR: 0
Episode   9200 | Avg Reward:     2.20 | MTTD:   8 | MTTR: 200 | FPR: 0.230 | CSR: 0
Episode   9300 | Avg Reward:     1.66 | MTTD:   8 | MTTR: 200 | FPR: 0.173 | CSR: 0
Episode   9400 | Avg Reward:     2.98 | MTTD:   8 | MTTR:  41 | FPR: 0.538 | CSR: 1
Episode   9500 | Avg Reward:     2.68 | MTTD:   7 | MTTR:  12 | FPR: 0.800 | CSR: 1
Episode   9600 | Avg Reward:     3.10 | MTTD:   6 | MTTR:  47 | FPR: 0.214 | CSR: 1
Episode   9700 | Avg Reward:     4.38 | MTTD:   5 | MTTR: 200 | FPR: 0.239 | CSR: 0
Episode   9800 | Avg Reward:     3.39 | MTTD:  11 | MTTR: 200 | FPR: 0.324 | CSR: 0
Episode   9900 | Avg Reward:     4.50 | MTTD:   5 | MTTR:  35 | FPR: 0.333 | CSR: 1
Episode  10000 | Avg Reward:     4.01 | MTTD:   8 | MTTR: 200 | FPR: 0.274 | CSR: 0

Training complete. Best reward: 15.83
Logs saved to: checkpoints/train_seed42.csv
